Test,Client,Metric,Phase,Value
BigBlock,Mainnet - Lighthouse,Max Gas Gwei,Phase 1,100.45
BigBlock,Nethermind - Lighthouse,Max Gas Gwei,Phase 1,200.76
BigBlock,Besu - Lighthouse,Max Gas Gwei,Phase 2,3.25
BigBlock,Equalweight - Lighthouse,Max Gas Gwei,Phase 2,3.50
BigBlock,Geth - Lighthouse,Max Gas Gwei,Phase 2,2.84
BigBlock,Mainnet - Lighthouse,Max Gas Gwei,Phase 2,3.33
BigBlock,Nethermind - Lighthouse,Max Gas Gwei,Phase 2,3.49
BigBlock,Besu - Lighthouse,Max Latency ms,Phase 1,27641.00
BigBlock,Equalweight - Lighthouse,Max Latency ms,Phase 1,14114.00
BigBlock,Geth - Lighthouse,Max Latency ms,Phase 1,14129.00
BigBlock,Mainnet - Lighthouse,Max Latency ms,Phase 1,14119.00
BigBlock,Nethermind - Lighthouse,Max Latency ms,Phase 1,12442.00
BigBlock,Besu - Lighthouse,Max Latency ms,Phase 2,41521.00
BigBlock,Equalweight - Lighthouse,Max Latency ms,Phase 2,41986.00
BigBlock,Geth - Lighthouse,Max Latency ms,Phase 2,20316.00
BigBlock,Mainnet - Lighthouse,Max Latency ms,Phase 2,31790.00
BigBlock,Nethermind - Lighthouse,Max Latency ms,Phase 2,20349.00
BigBlock,Besu - Lighthouse,Max Net RX MB/s,Phase 1,8.17
BigBlock,Equalweight - Lighthouse,Max Net RX MB/s,Phase 1,8.11
BigBlock,Geth - Lighthouse,Max Net RX MB/s,Phase 1,8.08
BigBlock,Mainnet - Lighthouse,Max Net RX MB/s,Phase 1,8.18
BigBlock,Nethermind - Lighthouse,Max Net RX MB/s,Phase 1,8.09
BigBlock,Besu - Lighthouse,Max Net RX MB/s,Phase 2,18.40
BigBlock,Equalweight - Lighthouse,Max Net RX MB/s,Phase 2,18.51
BigBlock,Geth - Lighthouse,Max Net RX MB/s,Phase 2,18.79
BigBlock,Mainnet - Lighthouse,Max Net RX MB/s,Phase 2,19.47
BigBlock,Nethermind - Lighthouse,Max Net RX MB/s,Phase 2,18.26
BigBlock,Besu - Lighthouse,Max Net TX MB/s,Phase 1,10.22
BigBlock,Equalweight - Lighthouse,Max Net TX MB/s,Phase 1,10.15
BigBlock,Geth - Lighthouse,Max Net TX MB/s,Phase 1,9.97
BigBlock,Mainnet - Lighthouse,Max Net TX MB/s,Phase 1,10.15
BigBlock,Nethermind - Lighthouse,Max Net TX MB/s,Phase 1,10.13
BigBlock,Besu - Lighthouse,Max Net TX MB/s,Phase 2,76.06
BigBlock,Equalweight - Lighthouse,Max Net TX MB/s,Phase 2,76.30
BigBlock,Geth - Lighthouse,Max Net TX MB/s,Phase 2,76.98
BigBlock,Mainnet - Lighthouse,Max Net TX MB/s,Phase 2,77.22
